county_name,state_fips,county_fips,year,annual_pm25
"Los Angeles County, CA",06,037,2018,11.924488725025945
"Los Angeles County, CA",06,037,2019,10.113095999079698
"Los Angeles County, CA",06,037,2020,13.43545007335218
"Los Angeles County, CA",06,037,2021,12.161321480997936
"Los Angeles County, CA",06,037,2022,10.929974516663464
"Los Angeles County, CA",06,037,2023,10.031450973691598
"Harris County, TX",48,201,2018,9.709892396952252
"Harris County, TX",48,201,2019,9.400986047029107
"Harris County, TX",48,201,2020,9.932420162130702
"Harris County, TX",48,201,2021,9.955271668646619
"Harris County, TX",48,201,2022,9.89244579683327
"Harris County, TX",48,201,2023,10.758265255260833
"Cook County, IL",17,031,2018,9.737539529782905
"Cook County, IL",17,031,2019,9.41914225843308
"Cook County, IL",17,031,2020,8.99822078611676
"Cook County, IL",17,031,2021,9.646750466587006
"Cook County, IL",17,031,2022,8.773347548416776
"Cook County, IL",17,031,2023,10.932002493357578
"Maricopa County, AZ",04,013,2018,8.617241091148848
"Maricopa County, AZ",04,013,2019,6.882506297444843
"Maricopa County, AZ",04,013,2020,9.086344915836865
"Maricopa County, AZ",04,013,2021,8.559275553960411
"Maricopa County, AZ",04,013,2022,8.340767767617367
"Maricopa County, AZ",04,013,2023,7.997693528609818
